wavelength,intensity
529.47,-5.9989e+11
529.81,4.2111e+10
530.15,4.2111e+10
530.49,4.2111e+10
530.83,-4.31e+11
531.18,4.2111e+10
531.52,2.7351e+11
531.86,4.4266e+10
532.2,-5.6428e+10
532.54,4.6475e+11
532.88,4.6475e+11
533.22,4.6475e+11
533.57,8.2696e+11
533.91,4.6475e+11
534.25,4.6475e+11
534.59,1.4549e+11
534.93,1.4549e+11
535.27,4.2233e+11
535.61,4.2233e+11
535.95,1.0224e+11
536.3,4.2233e+11
536.64,1.0224e+11
536.98,1.0224e+11
537.32,1.0224e+11
537.66,4.2233e+11
538,4.0841e+11
538.34,7.3767e+10
538.68,7.3767e+10
539.02,5.4562e+11
539.36,8.5452e+11
539.7,3.6812e+11
540.04,8.5452e+11
540.39,3.6812e+11
540.73,1.0309e+12
541.07,4.4254e+11
541.41,1.0309e+12
541.75,1.3913e+12
542.09,1.0374e+12
542.43,1.0374e+12
542.77,1.0584e+12
543.11,1.0584e+12
543.45,1.0584e+12
543.79,1.4189e+12
544.13,1.0796e+12
544.47,1.2357e+12
544.81,1.2357e+12
545.15,1.2357e+12
545.49,1.2357e+12
545.83,9.6195e+11
546.17,9.6195e+11
546.51,9.6195e+11
546.85,7.4975e+11
547.19,6.8652e+11
547.53,6.7619e+11
547.87,6.7619e+11
548.21,6.7619e+11
548.54,6.7619e+11
548.88,6.7619e+11
549.22,8.76e+11
549.56,1.9292e+12
549.9,2.9649e+12
550.24,2.9649e+12
550.58,3.0983e+12
550.92,3.0983e+12
551.26,3.0983e+12
551.6,2.9649e+12
551.94,2.9649e+12
552.28,3.0295e+12
552.61,2.7702e+12
552.95,2.7702e+12
553.29,2.7702e+12
553.63,2.7702e+12
553.97,2.1849e+12
554.31,2.3155e+12
554.65,2.3155e+12
554.99,2.3155e+12
555.32,2.3155e+12
555.66,2.3155e+12
556,2.5994e+12
556.34,2.5994e+12
556.68,2.1465e+12
557.02,2.5994e+12
557.36,2.5994e+12
557.69,2.3042e+12
558.03,3.0314e+12
558.37,3.3365e+12
558.71,3.7129e+12
559.05,3.8026e+12
559.38,3.3365e+12
559.72,3.3365e+12
560.06,3.8026e+12
560.4,3.8026e+12
560.74,4.0525e+12
561.07,4.3209e+12
561.41,4.3209e+12
561.75,4.8307e+12
562.09,4.7716e+12
562.42,4.9204e+12
562.76,4.9204e+12
563.1,4.4847e+12
563.44,4.4847e+12
563.77,4.9204e+12
564.11,4.9204e+12
564.45,4.4847e+12
564.79,4.9204e+12
565.12,4.9204e+12
565.46,5.4289e+12
565.8,5.6579e+12
566.14,6.2716e+12
566.47,6.2716e+12
566.81,6.2716e+12
567.15,6.2716e+12
567.48,6.549e+12
567.82,6.549e+12
568.16,6.6656e+12
568.49,6.2689e+12
568.83,6.2653e+12
569.17,6.2757e+12
569.5,6.2757e+12
569.84,6.2757e+12
570.18,6.2757e+12
570.51,6.2757e+12
570.85,5.9947e+12
571.19,5.9947e+12
571.52,5.9947e+12
571.86,6.3564e+12
572.2,7.0907e+12
572.53,7.0907e+12
572.87,6.3508e+12
573.21,6.3508e+12
573.54,6.3508e+12
573.88,6.3508e+12
574.21,7.091e+12
574.55,7.767e+12
574.89,8.1704e+12
575.22,8.9429e+12
575.56,9.7495e+12
575.89,1.0186e+13
576.23,1.0735e+13
576.57,1.0814e+13
576.9,1.1606e+13
577.24,1.178e+13
577.57,1.178e+13
577.91,1.2305e+13
578.24,1.1864e+13
578.58,1.1864e+13
578.91,1.2023e+13
579.25,1.2023e+13
579.59,1.1497e+13
579.92,1.1497e+13
580.26,1.1321e+13
580.59,1.148e+13
580.93,1.148e+13
